superficie,habitaciones,antiguedad,precio,ubicacion_rural,ubicacion_urbano
152.0,5.0,2,259369.0,True,False
485.0,3.0,39,532012.0,True,False
398.0,4.0,0,464716.0,True,False
320.0,2.0,39,341759.0,True,False
156.0,1.0,26,171933.0,False,True
121.0,2.0,12,139378.0,True,False
238.0,1.0,44,235835.0,False,True
70.0,4.0,32,143033.0,False,True
152.0,4.0,5,233500.0,True,False
171.0,5.0,23,249832.0,True,False
264.0,2.0,18,277800.0,False,True
380.0,6.0,15,502038.0,True,False
137.0,5.0,39,227619.0,True,False
422.0,2.0,27,436833.0,True,False
149.0,5.0,32,218410.0,False,True
409.0,6.0,47,503339.0,False,True
201.0,3.0,40,251519.0,True,False
180.0,3.0,0,225808.0,False,True
274.5,3.0,42,125796.0,True,False
358.0,3.0,44,397180.0,False,True
307.0,3.0,24,352709.0,False,True
393.0,1.0,41,390043.0,False,True
463.0,7.0,35,602918.0,True,False
343.0,7.0,0,492075.0,True,False
274.5,7.0,37,239255.0,False,True
241.0,3.0,6,315465.0,False,True
493.0,6.0,4,621502.0,False,True
326.0,4.0,42,381724.0,True,False
210.0,4.0,44,251828.0,False,True
363.0,1.0,30,365087.0,True,False
71.0,3.0,22,112605.0,False,True
302.0,3.0,41,352837.0,False,True
285.0,3.0,0,330482.0,False,True
394.0,5.0,31,485505.0,False,True
98.0,2.0,42,119760.0,False,True
108.0,5.0,29,178963.0,False,True
219.0,2.0,38,224912.0,True,False
237.0,3.0,30,266648.0,False,True
320.0,3.0,17,385123.0,True,False
239.0,5.0,35,337134.0,False,True
495.0,5.0,1,577612.0,False,True
224.0,2.0,13,259554.0,True,False
495.0,4.0,12,553492.0,False,True
100.0,2.0,28,128207.0,True,False
413.0,5.0,11,502614.0,True,False
104.0,6.0,38,219285.0,False,True
293.0,5.0,1,388518.0,True,False
369.0,6.0,31,474886.0,True,False
180.0,4.0,12,231740.0,False,True
356.0,5.0,45,421710.0,True,False
184.0,1.0,26,183743.0,False,True
70.0,4.0,48,112588.0,False,True
378.0,2.0,40,381311.0,False,True
216.0,6.0,16,330432.0,False,True
323.0,4.0,39,377255.0,True,False
437.0,1.0,30,425321.0,False,True
138.0,6.0,33,237312.0,False,True
365.0,2.0,23,410883.0,True,False
63.0,5.0,44,134146.0,False,True
291.0,3.0,34,327654.0,False,True
314.0,1.0,47,326320.0,True,False
395.0,2.0,5,413226.0,True,False
102.0,1.0,18,96760.0,True,False
435.0,7.0,29,562690.0,True,False
389.0,1.0,6,387875.0,True,False
141.0,6.0,9,259877.0,True,False
416.0,7.0,40,520033.0,True,False
493.0,3.0,31,555711.0,False,True
477.0,3.0,33,517873.0,True,False
313.0,7.0,27,423244.0,True,False
480.0,5.0,14,577995.0,True,False
84.0,3.0,29,126477.0,False,True
255.0,2.0,36,289402.0,False,True
130.0,4.0,28,210542.0,True,False
469.0,1.0,21,469151.0,False,True
99.0,1.0,0,132703.0,True,False
409.0,3.0,19,452895.0,False,True
437.0,5.0,31,531308.0,False,True
51.0,4.0,35,130076.0,True,False
439.0,7.0,49,551215.0,False,True
103.0,3.0,3,165806.0,True,False
155.0,7.0,26,281086.0,False,True
309.0,6.0,16,415376.0,False,False
359.0,6.0,11,459389.0,True,False
240.0,2.0,21,287322.0,True,False
451.0,4.0,16,539636.0,True,False
267.0,7.0,9,403084.0,True,False
93.0,6.0,0,227610.0,False,True
211.0,2.0,21,230558.0,False,True
251.0,5.0,25,327601.0,False,True
495.0,2.0,17,518997.0,True,False
319.0,6.0,49,399158.0,False,True
400.0,3.0,13,444881.0,True,False
353.0,3.0,46,387154.0,False,True
320.0,7.0,28,445539.0,True,False
264.0,3.0,11,310277.0,True,False
301.0,7.0,35,437896.0,False,True
239.0,7.0,34,372373.0,True,False
345.0,6.0,11,472654.0,True,False
262.0,4.0,6,305031.0,False,True
257.0,7.0,28,390997.0,True,False
286.0,4.0,10,347439.0,True,False
387.0,5.0,32,473785.0,True,False
274.5,2.0,5,130892.0,False,True
102.0,2.0,46,127669.0,True,False
329.0,6.0,14,450939.0,True,False
459.0,3.0,31,485782.0,False,True
266.0,3.0,10,335624.0,True,False
301.0,7.0,22,434364.0,True,False
237.0,1.0,25,226498.0,True,False
429.0,7.0,33,564205.0,True,False
90.0,4.0,0,168244.0,True,False
206.0,4.0,33,258928.0,False,True
64.0,2.0,28,107437.0,True,False
350.0,7.0,3,480836.0,False,True
114.0,1.0,16,115342.0,False,True
394.0,1.0,34,416832.0,True,False
376.0,7.0,12,497446.0,True,False
58.0,6.0,40,176392.0,False,True
393.0,2.0,38,401461.0,False,True
178.0,3.0,14,245587.0,False,True
185.0,4.0,28,241516.0,True,False
112.0,1.0,28,111749.0,False,True
188.0,1.0,10,200514.0,True,False
130.0,5.0,31,229926.0,False,True
441.0,4.0,1,536768.0,True,False
212.0,1.0,46,213950.0,False,True
468.0,4.0,13,556388.0,True,False
338.0,2.0,19,385288.0,True,False
428.0,3.0,21,467713.0,True,False
310.0,1.0,10,341027.0,True,False
280.0,5.0,26,375011.0,True,False
90.0,2.0,2,143591.0,False,True
77.0,7.0,16,206858.0,True,False
184.0,4.0,43,241126.0,True,False
250.0,7.0,27,369967.0,False,True
377.0,6.0,28,502758.0,False,False
317.0,2.0,20,330134.0,False,True
467.0,7.0,46,580743.0,True,False
82.0,1.0,15,89934.0,False,True
456.0,3.0,19,487641.0,True,False
111.0,2.0,5,146519.0,True,False
265.0,1.0,18,276384.0,True,False
342.0,5.0,4,456129.0,False,True
148.0,4.0,2,209967.0,False,True
221.0,4.0,0,292172.0,False,True
409.0,2.0,37,426890.0,True,False
263.0,2.0,14,279267.0,False,True
84.0,3.0,33,146832.0,False,True
498.0,3.0,34,547167.0,True,False
150.0,6.0,24,265840.0,False,True
480.0,5.0,23,567490.0,True,False
180.0,1.0,11,180406.0,False,False
306.0,1.0,17,314797.0,True,False
54.0,5.0,14,129011.0,True,False
267.0,3.0,43,297238.0,True,False
304.0,5.0,15,405297.0,True,False
447.0,6.0,26,545120.0,True,False
408.0,6.0,7,513267.0,False,True
332.0,7.0,45,452352.0,False,True
442.0,4.0,24,483703.0,True,False
256.0,6.0,16,348929.0,True,False
64.0,3.0,28,101951.0,False,True
395.0,6.0,7,517539.0,True,False
91.0,6.0,14,213504.0,True,False
429.0,6.0,26,533438.0,True,False
228.0,7.0,45,331244.0,False,True
112.0,7.0,49,225784.0,False,True
401.0,1.0,6,437748.0,True,False
280.0,7.0,2,406069.0,True,False
290.0,3.0,28,335799.0,False,True
101.0,3.0,43,152710.0,False,True
145.0,7.0,23,281726.0,True,False
437.0,5.0,2,520652.0,True,False
271.0,4.0,19,345823.0,False,True
456.0,7.0,45,561097.0,False,True
280.0,6.0,14,410226.0,False,True
286.0,2.0,24,300591.0,True,False
192.0,4.0,29,263333.0,False,True
220.0,4.0,13,285326.0,True,False
78.0,3.0,6,141417.0,False,True
85.0,4.0,16,155693.0,False,True
62.0,7.0,43,174638.0,False,True
209.0,6.0,19,301669.0,False,True
376.0,6.0,35,477056.0,True,False
236.0,1.0,8,254052.0,True,False
292.0,6.0,37,379813.0,False,True
135.0,6.0,47,219815.0,True,False
333.0,3.0,21,370536.0,False,True
115.0,6.0,1,246278.0,False,True
219.0,1.0,23,235234.0,False,True
94.0,3.0,7,153673.0,False,True
111.0,7.0,10,256403.0,True,False
490.0,3.0,12,524785.0,False,True
183.0,2.0,16,201139.0,False,True
333.0,3.0,7,375844.0,True,False
77.0,5.0,20,165800.0,False,True
157.0,4.0,17,233872.0,False,True
93.0,5.0,29,179038.0,False,True
389.0,6.0,17,495473.0,True,False
335.0,2.0,0,360619.0,False,True
495.0,6.0,46,606704.0,True,False
380.0,4.0,30,461575.0,False,True
177.0,3.0,37,238419.0,False,True
397.0,4.0,31,469216.0,False,True
280.0,1.0,10,278236.0,False,True
239.0,4.0,44,292848.0,False,True
274.0,1.0,0,276352.0,True,False
434.0,4.0,32,479932.0,False,False
332.0,1.0,40,320556.0,True,False
495.0,2.0,7,532800.0,True,False
170.0,6.0,10,270498.0,False,True
165.0,6.0,21,265082.0,True,False
282.0,5.0,0,371569.0,False,True
308.0,6.0,40,392857.0,False,True
408.0,3.0,2,449340.0,True,False
274.5,7.0,11,231266.0,True,False
460.0,4.0,45,523632.0,True,False
186.0,5.0,31,258991.0,False,True
367.0,3.0,14,400138.0,True,False
214.0,3.0,15,246858.0,True,False
274.0,1.0,21,273214.0,True,False
356.0,6.0,9,480340.0,True,False
283.0,2.0,19,327895.0,False,True
221.0,2.0,32,255654.0,False,True
201.0,5.0,9,302379.0,True,False
364.0,7.0,39,480496.0,False,True
